,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Miscellaneous,,,,,,,,,,Miscellaneous,,,,,,Team Shooting,,Team,,,,Opponent Shooting,,Opponent,,,
,Rk,Season,Team,W,Pace,ORtg,DRtg,TS%,TOV%,FT%,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,eFG%,TS%,TOV%,ORB%,DRB%,FTr
,1,2023-24,BOS,64,97.2,123.2,111.6,0.609,10.8,0.807,82,64,18,0.78,11.34,-0.6,10.75,97.2,123.2,111.6,0.578,0.609,10.8,24.9,76.3,0.224,0.523,0.55,10.8,23.7,75.1,0.189
,2,2023-24,OKC,57,99.8,119.5,112.1,0.608,11.4,0.825,82,57,25,0.695,7.41,-0.05,7.36,99.8,119.5,112.1,0.573,0.608,11.4,21.1,73.8,0.24,0.53,0.567,13.6,26.2,78.9,0.256
,3,2023-24,DEN,57,96.8,118.5,113,0.589,11.5,0.762,82,57,25,0.695,5.26,-0.03,5.23,96.8,118.5,113,0.562,0.589,11.5,25.5,75.6,0.224,0.526,0.561,11.2,24.4,74.5,0.252
,4,2023-24,MIN,56,97.1,115.6,109,0.594,13,0.777,82,56,26,0.683,6.45,-0.07,6.39,97.1,115.6,109,0.559,0.594,13,23.2,76.9,0.27,0.515,0.553,12.9,23.1,76.8,0.252
,5,2023-24,LAC,51,97.2,118.8,115.4,0.599,12,0.825,82,51,31,0.622,3.28,0.13,3.41,97.2,118.8,115.4,0.561,0.599,12,24.4,74.8,0.256,0.541,0.573,11.7,25.2,75.6,0.236
,6,2023-24,NYK,50,95.2,118.2,113.4,0.574,11.9,0.78,82,50,32,0.61,4.59,-0.23,4.36,95.2,118.2,113.4,0.54,0.574,11.9,29.4,76.1,0.246,0.543,0.573,12.3,23.9,70.6,0.231
,7,2023-24,DAL,50,100.1,117.6,115.4,0.592,11.2,0.758,82,50,32,0.61,2.21,0.09,2.3,100.1,117.6,115.4,0.562,0.592,11.2,22.2,75.2,0.251,0.548,0.579,12.1,24.8,77.8,0.239
,8,2023-24,MIL,49,99.9,118.4,115.8,0.601,11.5,0.774,82,49,33,0.598,2.62,-0.18,2.44,99.9,118.4,115.8,0.568,0.601,11.5,21.8,77.2,0.27,0.539,0.574,10.6,22.8,78.2,0.234
,9,2023-24,PHO,49,98.3,117.6,114.6,0.603,13.4,0.808,82,49,33,0.598,3.06,0.02,3.08,98.3,117.6,114.6,0.565,0.603,13.4,25,75.6,0.271,0.536,0.567,11.3,24.4,75,0.23
,10,2023-24,NOP,49,97.9,117.4,112.9,0.591,11.8,0.771,82,49,33,0.598,4.41,0.05,4.46,97.9,117.4,112.9,0.558,0.591,11.8,24.4,76.9,0.261,0.541,0.574,12.9,23.1,75.6,0.237
,11,2023-24,CLE,48,97.2,115.2,112.7,0.586,12.4,0.765,82,48,34,0.585,2.41,-0.44,1.98,97.2,115.2,112.7,0.557,0.586,12.4,23.2,76.9,0.234,0.535,0.57,12.3,23.1,76.8,0.24
,12,2023-24,LAL,47,100.9,115.9,115.3,0.601,12.5,0.782,82,47,35,0.573,0.6,0.48,1.07,100.9,115.9,115.3,0.566,0.601,12.5,19.9,76.2,0.276,0.55,0.578,11.7,23.8,80.1,0.192
,13,2023-24,PHI,47,97.5,116.9,113.8,0.574,10.7,0.826,82,47,35,0.573,3.05,-0.54,2.51,97.5,116.9,113.8,0.532,0.574,10.7,24.8,74.3,0.264,0.537,0.576,13.1,25.7,75.2,0.271
,14,2023-24,ORL,47,96.9,113.4,111.3,0.577,13.3,0.759,82,47,35,0.573,2.02,-0.55,1.48,96.9,113.4,111.3,0.541,0.577,13.3,25.3,78.1,0.287,0.543,0.579,13.8,21.9,74.7,0.264
,15,2023-24,IND,47,101.7,121,118,0.606,11.3,0.782,82,47,35,0.573,3.05,-0.3,2.75,101.7,121,118,0.578,0.606,11.3,23.8,74.1,0.222,0.556,0.594,12.1,25.9,76.2,0.289
,16,2023-24,SAC,46,98.8,116.9,115.2,0.582,11.6,0.745,82,46,36,0.561,1.74,0.55,2.29,98.8,116.9,115.2,0.556,0.582,11.6,24.5,78.4,0.229,0.555,0.592,12.5,21.6,75.5,0.266
,17,2023-24,MIA,46,96.2,114,112.2,0.578,11.7,0.818,82,46,36,0.561,1.76,-0.66,1.1,96.2,114,112.2,0.538,0.578,11.7,21.8,78.1,0.257,0.543,0.573,12.7,21.9,78.2,0.223
,18,2023-24,GSW,46,99.2,117.8,115.2,0.586,12.5,0.78,82,46,36,0.561,2.61,0.16,2.77,99.2,117.8,115.2,0.557,0.586,12.5,27.5,76.1,0.219,0.539,0.574,11.5,23.9,72.5,0.248
